,CQI_Range,T_UL Total [ms],WB CQI_bin range
0,"(6, 9]",8.35519,"(6, 9]"
1,"(6, 9]",2.09083,"(6, 9]"
2,"(6, 9]",3.20705,"(6, 9]"
3,"(9, 12]",1.24117,"(9, 12]"
4,"(9, 12]",1.83295,"(9, 12]"
5,"(9, 12]",2.39106,"(9, 12]"
6,"(9, 12]",2.29948,"(9, 12]"
7,"(9, 12]",3.29035,"(9, 12]"
8,"(9, 12]",2.20765,"(9, 12]"
9,"(9, 12]",3.19872,"(9, 12]"
10,"(9, 12]",3.3323500000000004,"(9, 12]"
11,"(9, 12]",1.2495,"(9, 12]"
12,"(9, 12]",2.12415,"(9, 12]"
13,"(9, 12]",1.67433,"(9, 12]"
14,"(9, 12]",1.8326,"(9, 12]"
15,"(9, 12]",4.55766,"(9, 12]"
16,"(9, 12]",6.33913,"(9, 12]"
17,"(9, 12]",4.85639,"(9, 12]"
18,"(9, 12]",2.27444,"(9, 12]"
19,"(9, 12]",5.956300000000001,"(9, 12]"
20,"(9, 12]",1.69134,"(9, 12]"
21,"(9, 12]",1.77469,"(9, 12]"
22,"(9, 12]",1.74112,"(9, 12]"
23,"(9, 12]",1.45795,"(9, 12]"
24,"(9, 12]",2.94084,"(9, 12]"
25,"(9, 12]",9.37958,"(9, 12]"
26,"(9, 12]",1.50808,"(9, 12]"
27,"(9, 12]",2.99087,"(9, 12]"
28,"(9, 12]",1.25803,"(9, 12]"
29,"(9, 12]",4.631679999999999,"(9, 12]"
30,"(9, 12]",4.38158,"(9, 12]"
31,"(9, 12]",1.36612,"(9, 12]"
32,"(9, 12]",1.52454,"(9, 12]"
33,"(9, 12]",1.81609,"(9, 12]"
34,"(9, 12]",2.84901,"(9, 12]"
35,"(9, 12]",2.80756,"(9, 12]"
36,"(9, 12]",1.85759,"(9, 12]"
37,"(9, 12]",8.31334,"(9, 12]"
38,"(9, 12]",4.21498,"(9, 12]"
39,"(9, 12]",2.54898,"(9, 12]"
40,"(9, 12]",3.95675,"(9, 12]"
41,"(9, 12]",2.87385,"(9, 12]"
42,"(9, 12]",4.42323,"(9, 12]"
43,"(9, 12]",2.27409,"(9, 12]"
44,"(9, 12]",7.1638,"(9, 12]"
45,"(9, 12]",3.07377,"(9, 12]"
46,"(9, 12]",3.49062,"(9, 12]"
47,"(9, 12]",5.3981900000000005,"(9, 12]"
48,"(9, 12]",3.47361,"(9, 12]"
49,"(9, 12]",4.98967,"(9, 12]"
50,"(9, 12]",0.4998,"(9, 12]"
51,"(9, 12]",3.15722,"(9, 12]"
52,"(9, 12]",1.2080000000000002,"(9, 12]"
53,"(9, 12]",2.29928,"(9, 12]"
54,"(9, 12]",9.455000000000002,"(9, 12]"
55,"(9, 12]",5.87285,"(9, 12]"
56,"(9, 12]",3.40717,"(9, 12]"
57,"(9, 12]",3.6654,"(9, 12]"
58,"(9, 12]",4.17353,"(9, 12]"
59,"(9, 12]",3.64041,"(9, 12]"
60,"(9, 12]",3.09043,"(9, 12]"
61,"(9, 12]",1.79095,"(9, 12]"
62,"(9, 12]",1.87425,"(9, 12]"
63,"(9, 12]",7.52289,"(9, 12]"
64,"(9, 12]",6.63991,"(9, 12]"
65,"(9, 12]",4.53242,"(9, 12]"
66,"(9, 12]",4.47341,"(9, 12]"
67,"(9, 12]",2.49102,"(9, 12]"
68,"(12, 15]",8.70485,"(12, 15]"
69,"(12, 15]",2.41585,"(12, 15]"
70,"(12, 15]",2.09931,"(12, 15]"
71,"(12, 15]",1.79095,"(12, 15]"
72,"(12, 15]",2.13263,"(12, 15]"
73,"(12, 15]",4.01506,"(12, 15]"
74,"(12, 15]",0.96643,"(12, 15]"
75,"(12, 15]",1.73304,"(12, 15]"
76,"(12, 15]",3.94044,"(12, 15]"
77,"(12, 15]",5.33968,"(12, 15]"
78,"(12, 15]",2.2911,"(12, 15]"
79,"(12, 15]",2.42403,"(12, 15]"
80,"(12, 15]",2.70745,"(12, 15]"
81,"(12, 15]",2.23244,"(12, 15]"
82,"(12, 15]",2.21593,"(12, 15]"
83,"(12, 15]",4.115220000000001,"(12, 15]"
84,"(12, 15]",4.0069300000000005,"(12, 15]"
85,"(12, 15]",2.1161700000000003,"(12, 15]"
86,"(12, 15]",2.97396,"(12, 15]"
87,"(12, 15]",5.32302,"(12, 15]"
88,"(12, 15]",4.73159,"(12, 15]"
89,"(12, 15]",3.74017,"(12, 15]"
90,"(12, 15]",1.86607,"(12, 15]"
91,"(12, 15]",2.14081,"(12, 15]"
92,"(12, 15]",2.04125,"(12, 15]"
93,"(12, 15]",9.33793,"(12, 15]"
94,"(12, 15]",3.78182,"(12, 15]"
95,"(12, 15]",2.59936,"(12, 15]"
96,"(12, 15]",2.56564,"(12, 15]"
97,"(12, 15]",4.648339999999999,"(12, 15]"
98,"(12, 15]",2.81554,"(12, 15]"
99,"(12, 15]",4.38178,"(12, 15]"
100,"(12, 15]",4.88173,"(12, 15]"
101,"(12, 15]",2.56579,"(12, 15]"
102,"(12, 15]",4.148490000000001,"(12, 15]"
103,"(12, 15]",2.97396,"(12, 15]"
104,"(12, 15]",4.7656600000000005,"(12, 15]"
105,"(12, 15]",4.64814,"(12, 15]"
106,"(12, 15]",3.57357,"(12, 15]"
107,"(12, 15]",2.07432,"(12, 15]"
108,"(12, 15]",1.32447,"(12, 15]"
109,"(12, 15]",2.23259,"(12, 15]"
110,"(12, 15]",2.53267,"(12, 15]"
