,Phy Layer Delay [ms]
0,3.00778
1,1.63303
2,1.83295
3,1.67473
4,2.7912
5,1.35794
6,3.48209
7,3.09921
8,1.87445
9,3.5990100000000003
10,2.9576
11,1.94937
12,2.52439
13,3.82382
14,4.26531
15,4.948370000000001
16,1.82462
17,2.78237
18,2.24925
19,2.18281
20,4.13283
21,4.790100000000001
22,2.34926
23,2.46603
24,3.33235
25,3.39879
26,4.86487
27,4.2068
28,2.22446
29,2.53292
30,4.7237100000000005
31,1.44124
32,3.3072099999999995
33,3.36552
34,1.67468
35,2.26616
36,4.348459999999999
37,1.5580599999999998
38,1.72466
39,1.6913399999999998
40,1.57452
41,2.36607
42,2.69932
43,1.59138
44,2.9908200000000003
45,1.94957
46,2.34926
47,3.05746
48,2.9157
49,1.57452
50,2.12435
51,1.4581
52,3.0406000000000004
53,1.98269
54,3.6656
55,2.10794
56,1.98269
57,2.08265
58,4.5402000000000005
59,2.2661100000000003
60,1.71633
61,1.74965
62,1.6913399999999998
63,4.40702
64,2.18281
65,2.63273
66,3.29075
67,3.9402400000000006
68,1.84941
69,2.24092
70,1.68281
71,1.72446
72,3.70705
73,2.62415
74,2.31614
75,2.64126
76,1.4579
77,1.71633
78,1.83295
79,2.09143
80,1.4581
81,3.29883
82,2.13288
83,2.74092
84,2.09098
85,2.24097
86,1.73299
87,2.42423
88,1.73299
89,1.91625
90,4.34841
91,1.5580599999999998
92,2.09098
93,4.05691
94,3.99027
95,2.64914
96,2.5576600000000003
97,2.24097
98,1.88273
99,1.78297
100,1.83295
101,2.18281
102,3.19892
103,4.98982
104,1.5580599999999998
105,1.81634
106,1.68301
107,1.51621
108,1.97456
109,3.66535
110,2.4575
111,1.73279
112,3.3242700000000003
113,3.89046
114,4.20725
115,2.79075
116,2.1078900000000003
117,1.97456
118,4.11537
119,1.53287
120,3.01566
121,1.47456
122,3.94044
123,1.50788
124,1.4996
125,4.748450000000001
126,4.48189
127,1.89939
128,1.65802
129,2.17448
130,2.12435
131,2.44104
132,1.60804
133,1.63308
134,1.63303
135,1.68301
136,2.19932
137,4.8068100000000005
138,1.4912200000000002
139,1.92438
140,2.24092
141,1.7828199999999998
142,1.69947
143,3.07397
144,2.46588
145,4.598310000000001
146,2.18281
147,2.4160500000000003
148,2.19932
149,4.26516
150,3.865320000000001
151,3.5406500000000003
152,2.62435
153,2.24925
154,2.19932
155,3.50713
156,1.3746
157,1.59971
158,1.89964
159,1.54973
160,3.97356
161,1.80776
162,1.5497299999999998
163,1.6913399999999998
164,2.24097
165,4.20685
166,1.68306
167,2.24092
168,1.97456
169,1.9579
170,2.17453
171,1.7661600000000002
172,2.39106
173,3.99047
174,4.46508
175,3.75723
176,1.60804
177,1.59118
178,3.52374
179,1.40797
180,2.99067
181,1.96623
182,1.41625
